Date, Open_FBMKLCI, High_FBMKLCI, Low_FBMKLCI, Close_FBMKLCI
1/5/2021,1608.35,1608.35,1608.35,1608.35
1/4/2021,1602.57,1602.57,1602.57,1602.57
12/31/20,1627.21,1627.21,1627.21,1627.21
12/30/20,1644.41,1644.41,1644.41,1644.41
12/29/20,1634.99,1634.99,1634.99,1634.99
12/28/20,1643.9,1643.9,1643.9,1643.9
12/24/20,1641.17,1641.17,1641.17,1641.17
12/23/20,1647.5,1647.5,1647.5,1647.5
12/22/20,1631.92,1631.92,1631.92,1631.92
12/21/20,1647.89,1647.89,1647.89,1647.89
12/18/20,1652.49,1652.49,1652.49,1652.49
12/17/20,1674.35,1674.35,1674.35,1674.35
12/16/20,1681.41,1681.41,1681.41,1681.41
12/15/20,1674.02,1674.02,1674.02,1674.02
12/14/20,1662.74,1662.74,1662.74,1662.74
12/11/2020,1684.58,1684.58,1684.58,1684.58
12/10/2020,1654.39,1654.39,1654.39,1654.39
12/9/2020,1646.53,1646.53,1646.53,1646.53
12/8/2020,1631.7,1631.7,1631.7,1631.7
12/7/2020,1622.89,1622.89,1622.89,1622.89
12/4/2020,1621.85,1621.85,1621.85,1621.85
12/3/2020,1628.26,1628.26,1628.26,1628.26
12/2/2020,1598.72,1598.72,1598.72,1598.72
12/1/2020,1602.26,1602.26,1602.26,1602.26
11/30/20,1562.71,1562.71,1562.71,1562.71
11/27/20,1607.59,1607.59,1607.59,1607.59
11/26/20,1612.11,1612.11,1612.11,1612.11
11/25/20,1597.58,1597.58,1597.58,1597.58
11/24/20,1578.39,1578.39,1578.39,1578.39
11/23/20,1597.48,1597.48,1597.48,1597.48
11/20/20,1593.75,1593.75,1593.75,1593.75
11/19/20,1583.68,1583.68,1583.68,1583.68
11/18/20,1604.75,1604.75,1604.75,1604.75
11/17/20,1610.15,1610.15,1610.15,1610.15
11/16/20,1599.66,1599.66,1599.66,1599.66
11/13/20,1589.69,1589.69,1589.69,1589.69
11/12/2020,1590.78,1590.78,1590.78,1590.78
11/11/2020,1570.08,1570.08,1570.08,1570.08
11/10/2020,1575.07,1575.07,1575.07,1575.07
11/9/2020,1524.32,1524.32,1524.32,1524.32
11/6/2020,1519.64,1519.64,1519.64,1519.64
11/5/2020,1501.49,1501.49,1501.49,1501.49
11/4/2020,1464.61,1464.61,1464.61,1464.61
11/3/2020,1461.45,1461.45,1461.45,1461.45
11/2/2020,1466.46,1466.46,1466.46,1466.46
10/30/20,1466.89,1466.89,1466.89,1466.89
10/28/20,1495.2,1495.2,1495.2,1495.2
10/27/20,1500.35,1500.35,1500.35,1500.35
10/26/20,1494.61,1494.61,1494.61,1494.61
10/23/20,1494.64,1494.64,1494.64,1494.64
10/22/20,1498.8,1498.8,1498.8,1498.8
10/21/20,1492.4,1492.4,1492.4,1492.4
10/20/20,1510.97,1510.97,1510.97,1510.97
10/19/20,1518.11,1518.11,1518.11,1518.11
10/16/20,1503.84,1503.84,1503.84,1503.84
10/15/20,1513.95,1513.95,1513.95,1513.95
10/14/20,1523.25,1523.25,1523.25,1523.25
10/13/20,1525.2,1525.2,1525.2,1525.2
10/12/2020,1518.43,1518.43,1518.43,1518.43
10/9/2020,1530.35,1530.35,1530.35,1530.35
10/8/2020,1519.43,1519.43,1519.43,1519.43
10/7/2020,1489.56,1489.56,1489.56,1489.56
10/6/2020,1509.47,1509.47,1509.47,1509.47
10/5/2020,1512.43,1512.43,1512.43,1512.43
10/2/2020,1500.3,1500.3,1500.3,1500.3
10/1/2020,1496.77,1496.77,1496.77,1496.77
09/30/20,1504.82,1504.82,1504.82,1504.82
09/29/20,1503.9,1503.9,1503.9,1503.9
09/28/20,1511.66,1511.66,1511.66,1511.66
09/25/20,1509.14,1509.14,1509.14,1509.14
09/24/20,1500.8,1500.8,1500.8,1500.8
09/23/20,1496.48,1496.48,1496.48,1496.48
09/22/20,1505.78,1505.78,1505.78,1505.78
09/21/20,1499.43,1499.43,1499.43,1499.43
09/18/20,1506.63,1506.63,1506.63,1506.63
09/17/20,1513.07,1513.07,1513.07,1513.07
09/15/20,1531.28,1531.28,1531.28,1531.28
09/14/20,1511.36,1511.36,1511.36,1511.36
9/11/2020,1504.85,1504.85,1504.85,1504.85
9/10/2020,1490.12,1490.12,1490.12,1490.12
9/9/2020,1496.72,1496.72,1496.72,1496.72
9/8/2020,1519.32,1519.32,1519.32,1519.32
9/7/2020,1516.38,1516.38,1516.38,1516.38
9/4/2020,1515.86,1515.86,1515.86,1515.86
9/3/2020,1515.4,1515.4,1515.4,1515.4
9/2/2020,1537.54,1537.54,1537.54,1537.54
9/1/2020,1521.43,1521.43,1521.43,1521.43
08/28/20,1525.21,1525.21,1525.21,1525.21
08/27/20,1554.78,1554.78,1554.78,1554.78
08/26/20,1549.58,1549.58,1549.58,1549.58
08/25/20,1554.96,1554.96,1554.96,1554.96
08/24/20,1568.58,1568.58,1568.58,1568.58
08/21/20,1577.12,1577.12,1577.12,1577.12
08/19/20,1575.38,1575.38,1575.38,1575.38
08/18/20,1577.85,1577.85,1577.85,1577.85
08/17/20,1560.74,1560.74,1560.74,1560.74
08/14/20,1564.59,1564.59,1564.59,1564.59
08/13/20,1576.42,1576.42,1576.42,1576.42
8/12/2020,1556.64,1556.64,1556.64,1556.64
8/11/2020,1564.74,1564.74,1564.74,1564.74
8/10/2020,1571.66,1571.66,1571.66,1571.66
8/7/2020,1578.14,1578.14,1578.14,1578.14
8/6/2020,1588.57,1588.57,1588.57,1588.57
8/5/2020,1568.13,1568.13,1568.13,1568.13
8/4/2020,1575.94,1575.94,1575.94,1575.94
8/3/2020,1572.61,1572.61,1572.61,1572.61
07/30/20,1603.75,1603.75,1603.75,1603.75
07/29/20,1611.42,1611.42,1611.42,1611.42
07/28/20,1609.94,1609.94,1609.94,1609.94
07/27/20,1591.48,1591.48,1591.48,1591.48
07/24/20,1589.61,1589.61,1589.61,1589.61
07/23/20,1606.42,1606.42,1606.42,1606.42
07/22/20,1586.98,1586.98,1586.98,1586.98
07/21/20,1595.93,1595.93,1595.93,1595.93
07/20/20,1589.45,1589.45,1589.45,1589.45
07/17/20,1596.33,1596.33,1596.33,1596.33
07/16/20,1573.31,1573.31,1573.31,1573.31
07/15/20,1585.56,1585.56,1585.56,1585.56
07/14/20,1598.75,1598.75,1598.75,1598.75
07/13/20,1606.43,1606.43,1606.43,1606.43
7/10/2020,1591.84,1591.84,1591.84,1591.84
7/9/2020,1583.25,1583.25,1583.25,1583.25
7/8/2020,1583.5,1583.5,1583.5,1583.5
7/7/2020,1566.72,1566.72,1566.72,1566.72
7/6/2020,1576.9,1576.9,1576.9,1576.9
7/3/2020,1552.65,1552.65,1552.65,1552.65
7/2/2020,1536.28,1536.28,1536.28,1536.28
7/1/2020,1514.43,1514.43,1514.43,1514.43
06/30/20,1500.97,1500.97,1500.97,1500.97
06/29/20,1494.43,1494.43,1494.43,1494.43
06/26/20,1488.14,1488.14,1488.14,1488.14
06/25/20,1489.2,1489.2,1489.2,1489.2
06/24/20,1502.63,1502.63,1502.63,1502.63
06/23/20,1507.04,1507.04,1507.04,1507.04
06/22/20,1511.24,1511.24,1511.24,1511.24
06/19/20,1507.26,1507.26,1507.26,1507.26
06/18/20,1504.91,1504.91,1504.91,1504.91
06/17/20,1526.32,1526.32,1526.32,1526.32
06/16/20,1517.71,1517.71,1517.71,1517.71
06/15/20,1498.83,1498.83,1498.83,1498.83
6/12/2020,1546.02,1546.02,1546.02,1546.02
6/11/2020,1557.25,1557.25,1557.25,1557.25
6/10/2020,1575.27,1575.27,1575.27,1575.27
6/9/2020,1575.16,1575.16,1575.16,1575.16
6/5/2020,1556.33,1556.33,1556.33,1556.33
6/4/2020,1561.84,1561.84,1561.84,1561.84
6/3/2020,1538.53,1538.53,1538.53,1538.53
6/2/2020,1507.69,1507.69,1507.69,1507.69
6/1/2020,1490.14,1490.14,1490.14,1490.14
05/29/20,1473.25,1473.25,1473.25,1473.25
05/28/20,1457.5,1457.5,1457.5,1457.5
05/27/20,1451.73,1451.73,1451.73,1451.73
05/22/20,1436.76,1436.76,1436.76,1436.76
05/21/20,1452.11,1452.11,1452.11,1452.11
05/20/20,1435.12,1435.12,1435.12,1435.12
05/19/20,1423.97,1423.97,1423.97,1423.97
05/18/20,1410.16,1410.16,1410.16,1410.16
05/15/20,1403.44,1403.44,1403.44,1403.44
05/14/20,1397.25,1397.25,1397.25,1397.25
05/13/20,1397.13,1397.13,1397.13,1397.13
5/12/2020,1379.93,1379.93,1379.93,1379.93
5/8/2020,1382.31,1382.31,1382.31,1382.31
5/6/2020,1376.93,1376.93,1376.93,1376.93
5/5/2020,1389.55,1389.55,1389.55,1389.55
5/4/2020,1376.59,1376.59,1376.59,1376.59
04/30/20,1407.78,1418.42,1383.96,1407.78
04/29/20,1380.3,1380.3,1380.3,1380.3
04/28/20,1372.2,1372.2,1372.2,1372.2
04/27/20,1370.16,1370.16,1370.16,1370.16
04/24/20,1369.85,1369.85,1369.85,1369.85
04/23/20,1381.64,1381.64,1381.64,1381.64
04/22/20,1381.89,1381.89,1381.89,1381.89
04/21/20,1381.73,1381.73,1381.73,1381.73
04/20/20,1413.12,1413.12,1413.12,1413.12
04/17/20,1407.34,1407.34,1407.34,1407.34
04/16/20,1386.53,1386.53,1386.53,1386.53
04/15/20,1387.79,1387.79,1387.79,1387.79
04/14/20,1371.66,1371.66,1371.66,1371.66
04/13/20,1356.03,1356.03,1356.03,1356.03
4/10/2020,1357.5,1357.5,1357.5,1357.5
4/9/2020,1369.76,1369.76,1369.76,1369.76
4/8/2020,1361.39,1361.39,1361.39,1361.39
4/7/2020,1369.92,1369.92,1369.92,1369.92
4/6/2020,1341.69,1341.69,1341.69,1341.69
4/3/2020,1330.65,1330.65,1330.65,1330.65
